PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
S	Chen, N; Lin, Y; Jackson, D; Chung, S			IEEE	Chen, Nicole; Lin, Ying; Jackson, David; Chung, Shirley			Particulate Removal Using a CO2 Composite Spray Cleaning System	2016 IEEE AEROSPACE CONFERENCE	IEEE Aerospace Conference Proceedings		English	Proceedings Paper	IEEE Aerospace Conference	MAR 05-12, 2016	Big Sky, MT	IEEE				The Planetary Protection surface cleanliness requirements for potential Mars Sample Return hardware that would come in contact with Martian samples may be stricter than previous missions. The Jet Propulsion Laboratory has developed a new technology that will enable the removal of sub-micron size particles from critical hardware surfaces. A hand-held CO2 composite cleaning system was tested to verify its cleaning capabilities. This convenient, portable device can be used in cleanrooms for cleaning after rework or during spacecraft integration and assembly. It is environmentally safe and easy to use. This cleaning concept has the potential to be further developed into a robotic cleaning device on a Mars Lander to be used to clean sample acquisition or sample handling devices in situ. Contaminants of known sizes and concentrations, such as fluorescent microspheres and spores were deposited on common spacecraft material surfaces. The cleaning efficiency results will be presented and discussed.	[Chen, Nicole; Lin, Ying; Chung, Shirley] CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA; [Jackson, David] Clean Imagineering LLC, 26074 Ave Hall Unit 6, Santa Clarita, CA 91355 USA	Chen, N (corresponding author), CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA.	Nicole.C.Chen@jpl.nasa.gov; Ying.Lin@jpl.nasa.gov; David.jackson@cleanlogix.com; Shirley.Y.Chung@jpl.nasa.gov						18	2	2	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		978-1-4673-7676-1	AEROSP CONF PROC			2016													13	Engineering, Aerospace	Engineering	BG3XT	WOS:000388374903049					2020-09-09	
S	Chesley, SR; Veres, P			IEEE	Chesley, Steven R.; Veres, Peter			The Large Synoptic Survey Telescope: Projected Near-Earth Object Discovery Performance	2016 IEEE AEROSPACE CONFERENCE	IEEE Aerospace Conference Proceedings		English	Proceedings Paper	IEEE Aerospace Conference	MAR 05-12, 2016	Big Sky, MT	IEEE			PROCESSING SYSTEM	The Large Synoptic Survey Telescope (LSST) is a large-aperture, wide-field survey that has the potential to detect millions of asteroids. LSST is under construction with survey operations slated to begin in 2022. We describe an independent study to assess the performance of LSST for detecting and cataloging near-Earth objects (NEOs). A significant component of the study will be to assess the survey's ability to link observations of a single object from among the large numbers of false detections and detections of other objects. We also will explore the survey's basic performance in terms of fraction of NEOs discovered and cataloged, both for the planned baseline survey, but also for enhanced surveys that are more carefully tuned for NEO search, generally at the expense of other science drivers. Preliminary results indicate that with successful linkage under the current baseline survey LSST would discover similar to 60% of NEOs with absolute magnitude H < 22, which corresponds approximately to 140m diameter.	[Chesley, Steven R.; Veres, Peter] CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA	Chesley, SR (corresponding author), CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA.	steve.chesley@jpl.nasa.gov; peter.veres@jpl.nasa.gov						7	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		978-1-4673-7676-1	AEROSP CONF PROC			2016													8	Engineering, Aerospace	Engineering	BG3XT	WOS:000388374900043					2020-09-09	
S	Cheung, KM; Choi, T			IEEE	Cheung, Kar-Ming; Choi, Thomas			Statistical ARQ Link Analysis and Planning for Dynamic Links	2016 IEEE AEROSPACE CONFERENCE	IEEE Aerospace Conference Proceedings		English	Proceedings Paper	IEEE Aerospace Conference	MAR 05-12, 2016	Big Sky, MT	IEEE				In [1] and [2], we discussed automatic Repeatre-Quest (ARQ) link analysis and planning in terms of effective data rate, effective throughput, latency, and frame-error-rate (FER), under the standard assumption that the signal-to-noise ratio (SNR) remains the same throughout the ARQ communication session. In [3], we argued that the concept of constant SNR might not be valid when considering events over a long time horizon, as many link parameters are inherently statistical. This is particularly true for long-haul ARQ links because the channel SNR changes during subsequent retransmissions of un-received or non-decodable frames. As shown in [3], this inaccurate assumption of constant SNR might be non-consequential for static links such as S-band and X-band, but can lead to large discrepancies in the analysis and planning of the more dynamic communication links such as Ka-band and optical communication frequencies. In this paper, using similar techniques developed in [3], we incorporate the effect of changing SNR, or link uncertainty, into the analysis of ARQ links. SNR is no longer considered as a fixed value, but a random variable whose long-term statistics can be characterized with a probability distribution function. We consider two limiting cases: 1. "Fast-varying" SNR: when SNRs in subsequent retransmissions of a code-block can assume different values, and they are independent. One example is the deep space link when the ARQ acknowledgement time is much larger than the coherency time of the channel. For communications between Earth's ground stations and spacecraft at Mars, the round trip light time is 20-40 minutes, and this is much more than the typical atmospheric coherency time of Ka-band. 2. "Slow-varying" SNR: when SNR values in subsequent retransmissions of a code-block remain the same. One example is the proximity link between a low-Mars-orbit orbiter and a surface asset at Mars. In this case, the ARQ acknowledgement time is of the order of milliseconds and we can assume identical channel environment in subsequent re-transmissions. We expect the ARQ behavior of real-world dynamic channels would fall in between the "fast-varying" and "slow-varying" cases, thus providing interesting insights on the ARQ data return performance and latency performance. We illustrate the aforementioned analysis using the NASA (1024, 1/2) low-density-parity check (LDPC) code.	[Cheung, Kar-Ming; Choi, Thomas] CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA	Cheung, KM (corresponding author), CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA.	Kar-Ming.Cheung@jpl.nasa.gov; thomaschoi92@gmail.com						13	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		978-1-4673-7676-1	AEROSP CONF PROC			2016													8	Engineering, Aerospace	Engineering	BG3XT	WOS:000388374900051					2020-09-09	
S	Clare, L; Miles, G			IEEE	Clare, Loren; Miles, Gregory			Deep Space Optical Link ARQ Performance Analysis	2016 IEEE AEROSPACE CONFERENCE	IEEE Aerospace Conference Proceedings		English	Proceedings Paper	IEEE Aerospace Conference	MAR 05-12, 2016	Big Sky, MT	IEEE				Substantial advancements have been made toward the use of optical communications for deep space exploration missions, promising a much higher volume of data to be communicated in comparison with present-day Radio Frequency (RF) based systems. One or more ground-based optical terminals are assumed to communicate with the spacecraft. Both short-term and long-term link outages will arise due to weather at the ground station(s), space platform pointing stability, and other effects. To mitigate these outages, an Automatic Repeat Query (ARQ) retransmission method is assumed, together with a reliable back channel for acknowledgement traffic. Specifically, the Licklider Transmission Protocol (LTP) is used, which is a component of the Disruption-Tolerant Networking (DTN) protocol suite that is well suited for high bandwidth-delay product links subject to disruptions. We provide an analysis of envisioned deep space mission scenarios and quantify buffering, latency and throughput performance, using a simulation in which long-term weather effects are modeled with a Gilbert-Elliot Markov chain, short-term outages occur as a Bernoulli process, and scheduled outages arising from geometric visibility or operational constraints are represented. We find that both short- and long-term effects impact throughput, but long-term weather effects dominate buffer sizing and overflow losses as well as latency performance.	[Clare, Loren; Miles, Gregory] CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA	Clare, L (corresponding author), CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA.	Loren.P.Clare@jpl.nasa.gov; Gregory.J.Miles@jpl.nasa.gov						7	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		978-1-4673-7676-1	AEROSP CONF PROC			2016													11	Engineering, Aerospace	Engineering	BG3XT	WOS:000388374903096					2020-09-09	
S	Clark, I; Adler, M			IEEE	Clark, Ian; Adler, Mark			Summary of the Second High-Altitude, Supersonic Flight Dynamics Test for the LDSD Project	2016 IEEE AEROSPACE CONFERENCE	IEEE Aerospace Conference Proceedings		English	Proceedings Paper	IEEE Aerospace Conference	MAR 05-12, 2016	Big Sky, MT	IEEE				NASA's Low-Density Supersonic Decelerator Project is developing and testing the next generation of supersonic aerodynamic decelerators for planetary entry. A key element of that development is the testing of full-scale articles in conditions relevant to their intended use, primarily in the tenuous Mars atmosphere. To achieve this testing, the LDSD project developed a new test architecture for the qualification of their supersonic parachute. A large, helium filled scientific balloon is used to hoist a 4.7 m blunt body test vehicle to an altitude of approximately 32 kilometers. The test vehicle is released from the balloon, spun up for gyroscopic stability, and accelerated to over four times the speed of sound and an altitude of 50 kilometers using a large solid rocket motor. Once at those conditions, the vehicle is despun and the test period begins. The second flight of this architecture occurred on June 8th, 2015. This flight sought to build on the very successful shakeout test of 2014 by testing an updated design of a new 30.5 meter nominal diameter supersonic parachute that applied lessons learned from the first flight. Two other supersonic decelerators were also tested: a 6 m diameter Supersonic Inflatable Aerodynamic Decelerator (SIAD), and a 4.4 m diameter trailing ballute. This paper summarizes the results from that test.	[Clark, Ian; Adler, Mark] CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA	Clark, I (corresponding author), CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA.	ian.g.clark@jpl.nasa.gov; mark.adler@jpl.nasa.gov						7	0	0	0	3	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		978-1-4673-7676-1	AEROSP CONF PROC			2016													24	Engineering, Aerospace	Engineering	BG3XT	WOS:000388374901027					2020-09-09	
S	Clark, JJ; Meakin, P			IEEE	Clark, Jessica Juneau; Meakin, Peter			The Soil Moisture Active Passive Mission: Fault Protection Performance and Lessons Learned	2016 IEEE AEROSPACE CONFERENCE	IEEE Aerospace Conference Proceedings		English	Proceedings Paper	IEEE Aerospace Conference	MAR 05-12, 2016	Big Sky, MT	IEEE				Fault protection as a discipline involves a collection of flight software logic and operational processes for detecting unacceptable anomalous behavior, responding prior to reaching criticality, restricting the propagation of a failure beyond a fault containment region, and recovering the vehicle back to full or degraded functionality if possible. The System Fault Protection (SFP) design for the SMAP Earth orbiter was put to the test during its 90-day vehicle Commissioning activities. During this time, the SFP software autonomously protected the vehicle from multiple faults to critical hardware, and the operations team successfully returned the observatory to its science state. The SFP also performed well in the presence of anomalous behavior below true safety limits by not taking unnecessary response actions, instead allowing the operations team time to monitor the behavior. Certain aspects of the SFP design were modified during operations via both parameter updates and a full flight software update in order to better match the vehicle behavior in the flight environment. An evaluation of the SMAP SFP performance during vehicle Commissioning will be provided in this paper, as well as a set of lessons learned largely focused on visibility, SFP mutability in operations, responses to peripheral device faults, and Safe Mode recovery and design. By capturing some of the knowledge gained during SMAP Commissioning, it is intended that this paper provide guidance for making future System Fault Protection designs more robust and supportive of operations.	[Clark, Jessica Juneau; Meakin, Peter] CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA	Clark, JJ (corresponding author), CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA.	Jessica.Juneau@jpl.nasa.gov; Peter.C.Meakin@jpl.nasa.gov						2	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		978-1-4673-7676-1	AEROSP CONF PROC			2016													9	Engineering, Aerospace	Engineering	BG3XT	WOS:000388374902021					2020-09-09	
S	Cole, B; Dinkel, K			IEEE	Cole, Bjorn; Dinkel, Kevin			Multidisciplinary Model Transformation through Simplified Intermediate Representations	2016 IEEE AEROSPACE CONFERENCE	IEEE Aerospace Conference Proceedings		English	Proceedings Paper	IEEE Aerospace Conference	MAR 05-12, 2016	Big Sky, MT	IEEE				There has long been a challenge of making engineering tools from multiple disciplines interoperate. This problem extends to system modeling practices. This challenge has been confronted with a wide variety of techniques. These techniques include attempting to interface tools together into combined suites, attempting to find underlying commonalities in mathematics, supporting connections through semantic encoding, various graph mappings and transformations, and code wrappers. All of these approaches have strength s and weaknesses. These are measured in multiple areas: relative freedom of action of individual domain engineers in developing their own tools, speed of execution, ease of creation, traceability, fidelity of information transfer, and degree of alignment between the concepts of different domains. This paper presents an approach to this interoperation problem currently being used in the World-Wide Web. The approach is to develop easy-to-parse formats that allow flexibility to both the file author and file interpreter. Many of the formats that are currently deployed sacrifice runtime performance for the ability of third parties to easily understand what to do with the data. XML became popular earlier as a de - facto standard format for many web applications, but is now being replaced by JSON to enhance human readability and provide a simpler data model. This is the basis for work in this paper. Our approach, which provides the key to interoperation, is a simplified "shrapnel" intermediate collection of objects and relationships that is the result of a breakdown of the system model into minimal pieces. It is then reassembled on the destination side, forming a two-step transformation. Previous efforts with single-step transformations have proven too difficult to create efficiently. In contrast, the use of this approach leads to an almost automatic procedure for transformation development. The Europa project is a large engineering project that must coordinate the efforts of many different teams with different specialties. The traditional form of exchanging engineering information has been documentation. The vision of model-based systems engineering is to make this information exchange much more digital. This paper presents the application of our simplified format to connecting two different engineering tools to the system model, with a focus on a dynamic mission simulation encoded in Modelica.	[Cole, Bjorn; Dinkel, Kevin] CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA	Cole, B (corresponding author), CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA.	Bjorn.Cole@jpl.nasa.gov; Kevin.Dinkel@jpl.nasa.gov						7	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		978-1-4673-7676-1	AEROSP CONF PROC			2016													11	Engineering, Aerospace	Engineering	BG3XT	WOS:000388374901064					2020-09-09	
S	Dathathri, S; Livingston, SC; Reder, LJ; Murray, RM			IEEE	Dathathri, Sumanth; Livingston, Scott C.; Reder, Leonard J.; Murray, Richard M.			Interfacing TuLiP with the JPL Statechart Autocoder: Initial progress toward synthesis of flight software from formal specifications	2016 IEEE AEROSPACE CONFERENCE	IEEE Aerospace Conference Proceedings		English	Proceedings Paper	IEEE Aerospace Conference	MAR 05-12, 2016	Big Sky, MT	IEEE				This paper describes the implementation of an interface connecting the two tools : the JPL SCA (Statechart Autocoder) and TuLiP (Temporal Logic Planning Toolbox) to enable the automatic synthesis of low level implementation code directly from formal specifications. With system dynamics, bounds on uncertainty and formal specifications as inputs, TuLiP synthesizes Mealy machines that are correct-by-construction. An interface is built that automatically translates these Mealy machines into UML statecharts. The SCA accepts the UML statecharts (as XML files) to synthesize flight-certified(2) implementation code. The functionality of the interface is demonstrated through three example systems of varying complexity a) a simple thermostat b) a simple speed controller for an autonomous vehicle and c) a more complex speed controller for an autonomous vehicle with a map-element. In the thermostat controller, there is a specification regarding the desired temperature range that has to be met despite disturbance from the environment. Similarly, in the speed-controllers there are specifications about safe driving speeds depending on sensor health (sensors fail unpredictably) and the map-location. The significance of these demonstrations is the potential circumventing of some of the manual design of statecharts for flight software/controllers. As a result, we expect that less testing and validation will be necessary. In applications where the products of synthesis are used alongside manually designed components, extensive testing or new certificates of correctness of the composition may still be required.	[Dathathri, Sumanth; Livingston, Scott C.; Murray, Richard M.] CALTECH, Pasadena, CA 91125 USA; [Reder, Leonard J.] Jet Prop Lab, Pasadena, CA USA	Dathathri, S (corresponding author), CALTECH, Pasadena, CA 91125 USA.	sdathath@caltech.edu; slivingston@cds.caltech.edu; Leonard.J.Reder@jpl.nasa.gov; murray@cds.caltech.edu						13	2	2	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		978-1-4673-7676-1	AEROSP CONF PROC			2016													10	Engineering, Aerospace	Engineering	BG3XT	WOS:000388374900061					2020-09-09	
S	Del Castillo, L; Weber, CT; Mojarradi, M; Carr, G; Hunter, D; Vo, T; Stell, C; Orellana, S; Suh, JO; Nieraeth, D; Ikpe, SA; Ludwig, LL; Lauenstein, JM; Iannello, CJ; Chen, Y			IEEE	Del Castillo, Linda; Weber, Carissa Tudryn; Mojarradi, Mohammad; Carr, Greg; Hunter, Don; Vo, Tuan; Stell, Christopher; Orellana, Sonny; Suh, Jong-ook; Nieraeth, Don; Ikpe, Stanley A.; Ludwig, Lawrence L.; Lauenstein, Jean-Marie; Iannello, Christopher J.; Chen, Yuan			High Temperature Anode Power Supply Parts and Packaging Reliability and Survivability	2016 IEEE AEROSPACE CONFERENCE	IEEE Aerospace Conference Proceedings		English	Proceedings Paper	IEEE Aerospace Conference	MAR 05-12, 2016	Big Sky, MT	IEEE				The power processing unit (PPU) of a solar electrical propulsion system for in-space propulsion is developed as a high power, temperature, and efficiency, modular, high specific impulse, and non-isolated converter topology unit for future deep space and manned missions. Overall, the High Temperature Boost (HTB) PPU has 87% improvement in PPU specific power/mass and 38% improvement in-space solar electric system mass saving. The objectives of this Phase 1 study are to develop a High Temperature Anode Power Supply 10kW Prototype module with new extreme environment component and packaging technology and determine the component reliability and packaging survivability for at least 50 cycles in the temperature range of -55 degrees C to +160 degrees C. After cycling, the functionality is tested at room temperature and elevated temperature (base plate at 100 degrees C). Selection of high temperature components and advanced packaging techniques enables operation at a higher base plate temperature of 100 degrees C. SiC MOSFETS and diodes were chosen as well as high temperature capacitors designed to operate at 1kV and 2.2 mu F at 150 degrees C.	[Del Castillo, Linda; Weber, Carissa Tudryn; Mojarradi, Mohammad; Carr, Greg; Hunter, Don; Vo, Tuan; Stell, Christopher; Orellana, Sonny; Suh, Jong-ook; Nieraeth, Don] CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA; [Ikpe, Stanley A.; Chen, Yuan] NASA, Langley Res Ctr, 8 Lindbergh Way, Hampton, VA 23665 USA; [Ludwig, Lawrence L.; Iannello, Christopher J.] NASA, Kennedy Space Ctr, Cocoa Beach, FL 32899 USA; [Lauenstein, Jean-Marie] NASA, Goddard Space Flight Ctr, 8800 Greenbelt Rd, Greenbelt, MD 20771 USA	Del Castillo, L (corresponding author), CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA.							8	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		978-1-4673-7676-1	AEROSP CONF PROC			2016													8	Engineering, Aerospace	Engineering	BG3XT	WOS:000388374904070					2020-09-09	
S	Dillon, RL; Oberhettinger, DJ; Rogers, EW; Tinsley, CH			IEEE	Dillon, Robin L.; Oberhettinger, David J.; Rogers, Edward W.; Tinsley, Catherine H.			A Different Kind of Organizational Silence: When Individuals Fail to Recognize a Problem Exists	2016 IEEE AEROSPACE CONFERENCE	IEEE Aerospace Conference Proceedings		English	Proceedings Paper	IEEE Aerospace Conference	MAR 05-12, 2016	Big Sky, MT	IEEE				After major disasters, significant contributing factors are commonly identified but too often only with hindsight. For individuals to report potential problems before the disaster, three steps need to occur: 1) he or she needs to recognize an event as a risk, problem, or possible wrongdoing, 2) he or she needs to choose to either speak up, neglect the problem, or leave the organization based on an assessment of the benefits and costs of each alternative, and 3) he or she must take action if speaking up is the chosen response. The organizational silence literature focuses mostly on step 2, where the culture of the organization causes individuals to choose to not speak up even when a problem is recognized. In this paper, we focus on step 1: where characteristics of the organization or the particular problem cause individuals to fail to recognize a problem exists. We first examine the 1998 incident at Wallops Flight Facility where an aircraft crashed during an engine water ingestion test. We then describe a series of behavioral lab experiments conducted to demonstrate how different conditions in the situation can influence the participant's ability to recognize increasing risk in a task.	[Dillon, Robin L.; Tinsley, Catherine H.] Georgetown Univ, McDonough Sch Business, Washington, DC 20057 USA; [Oberhettinger, David J.] CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA; [Rogers, Edward W.] NASA, Goddard Space Flight Ctr, Greenbelt, MD 20771 USA	Dillon, RL (corresponding author), Georgetown Univ, McDonough Sch Business, Washington, DC 20057 USA.	rld9@georgetown.edu; davido@nasa.gov; ed.rogers@nasa.gov; tinsleyc@georgetown.edu						11	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		978-1-4673-7676-1	AEROSP CONF PROC			2016													9	Engineering, Aerospace	Engineering	BG3XT	WOS:000388374900009					2020-09-09	
