author_id,name,title
fadc8d23-8c63-488e-abd7-f2d712ab59be,"Daubar, Ingrid J.",Changes in blast zone albedo patterns around new martian impact craters
fadc8d23-8c63-488e-abd7-f2d712ab59be,"Daubar, Ingrid J.",A revised surface age for the North Polar Layered Deposits of Mars
fadc8d23-8c63-488e-abd7-f2d712ab59be,"Daubar, Ingrid J.",Martian cratering 11. Utilizing decameter scale crater populations to study Martian history
fadc8d23-8c63-488e-abd7-f2d712ab59be,"Daubar, Ingrid J.",Observations of MeV electrons in Jupiter's innermost radiation belts and polar regions by the Juno radiation monitoring investigation: Perijoves 1 and 3
fadc8d23-8c63-488e-abd7-f2d712ab59be,"Daubar, Ingrid J.",Measuring impact crater depth throughout the solar system
fadc8d23-8c63-488e-abd7-f2d712ab59be,"Daubar, Ingrid J.",Martian cratering 12. Utilizing primary crater clusters to study crater populations and meteoroid properties
fadc8d23-8c63-488e-abd7-f2d712ab59be,"Daubar, Ingrid J.",Dark halos produced by current impact cratering on Mars
fadc8d23-8c63-488e-abd7-f2d712ab59be,"Daubar, Ingrid J.","Composition of Amazonian volcanic materials in Tharsis and Elysium, Mars, from MRO/CRISM reflectance spectra"
fadc8d23-8c63-488e-abd7-f2d712ab59be,"Daubar, Ingrid J.",Recently Formed Crater Clusters on Mars
fadc8d23-8c63-488e-abd7-f2d712ab59be,"Daubar, Ingrid J.",The Seismic Signatures of Recently Formed Impact Craters on Mars
14781044-893d-4b3c-89b4-3bd5b6dd3d20,"Daubar, Ingrid",Preparing for InSight: Evaluation of the Blind Test for Martian Seismicity
14781044-893d-4b3c-89b4-3bd5b6dd3d20,"Daubar, Ingrid",Enabling Onboard Detection of Events of Scientific Interest for the Europa Clipper Spacecraft
5c105773-8194-44bc-acfe-2ed45772b4f7,"Daubar, I.",Preparing for InSight: An Invitation to Participate in a Blind Test for Martian Seismicity
bd52e7b5-0b1e-4f58-9b8f-4f555d1327ae,"Golombek, Matthew P.",Changes in blast zone albedo patterns around new martian impact craters
bd52e7b5-0b1e-4f58-9b8f-4f555d1327ae,"Golombek, Matthew P.",Characteristics of terrestrial basaltic rock populations: Implications for Mars lander and rover science and safety
bd52e7b5-0b1e-4f58-9b8f-4f555d1327ae,"Golombek, Matthew P.","High concentrations of manganese and sulfur in deposits on Murray Ridge, Endeavour Crater, Mars"
bd52e7b5-0b1e-4f58-9b8f-4f555d1327ae,"Golombek, Matthew P.","The degradational history of Endeavour crater, Mars"
bd52e7b5-0b1e-4f58-9b8f-4f555d1327ae,"Golombek, Matthew P.",Amazonian chemical weathering rate derived from stony meteorite finds at Meridiani Planum on Mars
bd52e7b5-0b1e-4f58-9b8f-4f555d1327ae,"Golombek, Matthew P.","Areally Extensive Surface Bedrock Exposures on Mars: Many Are Clastic Rocks, Not Lavas"
bd52e7b5-0b1e-4f58-9b8f-4f555d1327ae,"Golombek, Matthew P.",Present-Day Mars' Seismicity Predicted From 3-D Thermal Evolution Models of Interior Dynamics
bd52e7b5-0b1e-4f58-9b8f-4f555d1327ae,"Golombek, Matthew P.",Degradation of 100-m-Scale Rocky Ejecta Craters at the InSight Landing Site on Mars and Implications for Surface Processes and Erosion Rates in the Hesperian and Amazonian
bd52e7b5-0b1e-4f58-9b8f-4f555d1327ae,"Golombek, Matthew P.",The science process for selecting the landing site for the 2020 Mars rover
bd52e7b5-0b1e-4f58-9b8f-4f555d1327ae,"Golombek, Matthew P.",Recently Formed Crater Clusters on Mars
bd52e7b5-0b1e-4f58-9b8f-4f555d1327ae,"Golombek, Matthew P.","Estimation of the Seismic Moment Rate from an Incomplete Seismicity Catalog, in the Context of the InSight Mission to Mars"
bd52e7b5-0b1e-4f58-9b8f-4f555d1327ae,"Golombek, Matthew P.",Preparing for InSight: Evaluation of the Blind Test for Martian Seismicity
bd52e7b5-0b1e-4f58-9b8f-4f555d1327ae,"Golombek, Matthew P.",Degradation of Endeavour Crater Based on Orbital and Rover-Based Observations in Combination With Landscape Evolution Modeling
bd52e7b5-0b1e-4f58-9b8f-4f555d1327ae,"Golombek, Matthew P.",Unraveling the geologic and tectonic history of the Memnonia-Sirenum region of Mars: Implications on the early formation of the Tharsis rise
60da1852-ded4-42e4-848d-1062f1dd215e,"Golombek, M.",Context of ancient aqueous environments on Mars from in situ geologic mapping at Endeavour Crater
60da1852-ded4-42e4-848d-1062f1dd215e,"Golombek, M.",Preparing for InSight: An Invitation to Participate in a Blind Test for Martian Seismicity
fe799632-f53b-4238-b8d8-687b02d5eb5e,"Raymond, Carol A.","Mineralogy of Marcia, the youngest large crater of Vesta: Character and distribution of pyroxenes and hydrated material"
fe799632-f53b-4238-b8d8-687b02d5eb5e,"Raymond, Carol A.",Geomorphological evidence for transient water flow on Vesta
fe799632-f53b-4238-b8d8-687b02d5eb5e,"Raymond, Carol A.",Vesta's missing moons: Comprehensive search for natural satellites of Vesta by the Dawn spacecraft
fe799632-f53b-4238-b8d8-687b02d5eb5e,"Raymond, Carol A.",Detection of new olivine-rich locations on Vesta
fe799632-f53b-4238-b8d8-687b02d5eb5e,"Raymond, Carol A.",The spectral parameter maps of Vesta from VIR data
fe799632-f53b-4238-b8d8-687b02d5eb5e,"Raymond, Carol A.",Reflectance properties and hydrated material distribution on Vesta: Global investigation of variations and their relationship using improved calibration of Dawn VIR mapping spectrometer
fe799632-f53b-4238-b8d8-687b02d5eb5e,"Raymond, Carol A.",Composition of the northern regions of Vesta analyzed by the Dawn mission
fe799632-f53b-4238-b8d8-687b02d5eb5e,"Raymond, Carol A.",Mineralogical and spectral analysis of Vesta's Gegania and Lucaria quadrangles and comparative analysis of their key features
fe799632-f53b-4238-b8d8-687b02d5eb5e,"Raymond, Carol A.",Eucritic crust remnants and the effect of in-falling hydrous carbonaceous chondrites characterizing the composition of Vesta's Marcia region
