PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
S	Mehdi, I; Siles, J; Lee, C; Lin, R			IEEE	Mehdi, Imran; Siles, Jose; Lee, Choonsup; Lin, Robert			Compact Submillimeter-wave Multi-Pixel Local Oscillator Sources	2015 40TH INTERNATIONAL CONFERENCE ON INFRARED, MILLIMETER AND TERAHERTZ WAVES (IRMMW-THZ)	International Conference on Infrared Millimeter and Terahertz Waves		English	Proceedings Paper	40th International Conference on Infrared, Millimeter, and Terahertz Waves (IRMMW-THz)	AUG 23-28, 2015	Chinese Univ Hong Kong, Hong Kong, PEOPLES R CHINA	IEEE, IEEE Microwave Theory & Tech Soc, Virginal Diodes Inc, TeraView, Microtech Instruments Inc, Hong Kong Univ Sci & Technol, Dept Elect & Comp Engn, Croucher Fdn, Capital Normal Univ, K C Wong Educ Fdn, Meetings & Exhibit Hong Kong, Army Res Off, NSF	Chinese Univ Hong Kong				[Mehdi, Imran; Siles, Jose; Lee, Choonsup; Lin, Robert] CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA	Mehdi, I (corresponding author), CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA.							0	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2162-2027		978-1-4799-8272-1	INT CONF INFRA MILLI			2015													2	Engineering, Electrical & Electronic; Physics, Applied	Engineering; Physics	BE8OY	WOS:000376674000175					2020-09-15	
S	Pepper, BJ; Bradford, CM; Reck, T; Echternach, PM			IEEE	Pepper, B. J.; Bradford, C. M.; Reck, T.; Echternach, P. M.			Evidence of 1.5 THz Single-Photon Detection in Quantum Capacitance Detectors via Telegraph Rate Distribution Asymmetry	2015 40TH INTERNATIONAL CONFERENCE ON INFRARED, MILLIMETER AND TERAHERTZ WAVES (IRMMW-THZ)	International Conference on Infrared Millimeter and Terahertz Waves		English	Proceedings Paper	40th International Conference on Infrared, Millimeter, and Terahertz Waves (IRMMW-THz)	AUG 23-28, 2015	Chinese Univ Hong Kong, Hong Kong, PEOPLES R CHINA	IEEE, IEEE Microwave Theory & Tech Soc, Virginal Diodes Inc, TeraView, Microtech Instruments Inc, Hong Kong Univ Sci & Technol, Dept Elect & Comp Engn, Croucher Fdn, Capital Normal Univ, K C Wong Educ Fdn, Meetings & Exhibit Hong Kong, Army Res Off, NSF	Chinese Univ Hong Kong			Quantum Capacitance Detectors (QCDs) are shot noise limited terahertz detectors. Radiation breaks Cooper pairs, causing quasiparticle poisoning of a charge qubit, read out by a microwave resonator. We find asymmetry in the distribution of telegraph transition rates, interpreted as resulting from discrete single-photon events.	[Pepper, B. J.; Bradford, C. M.; Reck, T.; Echternach, P. M.] CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA	Pepper, BJ (corresponding author), CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA.	Brian.J.Pepper@jpl.nasa.gov						8	0	0	0	3	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2162-2027		978-1-4799-8272-1	INT CONF INFRA MILLI			2015													3	Engineering, Electrical & Electronic; Physics, Applied	Engineering; Physics	BE8OY	WOS:000376674000436					2020-09-15	
S	Schlecht, E; Siles, J; Treuttel, J; Lin, R; Yee, JH; Wu, D; Thomas, B; Mehdi, I			IEEE	Schlecht, Erich; Siles, Jose; Treuttel, Jeanne; Lin, Robert; Yee, Jeng-Hwa; Wu, Dong; Thomas, Bertrand; Mehdi, Imran			Terahertz Limb Sounder to Measure Winds and Temperature above 100 km	2015 40TH INTERNATIONAL CONFERENCE ON INFRARED, MILLIMETER AND TERAHERTZ WAVES (IRMMW-THZ)	International Conference on Infrared Millimeter and Terahertz Waves		English	Proceedings Paper	40th International Conference on Infrared, Millimeter, and Terahertz Waves (IRMMW-THz)	AUG 23-28, 2015	Chinese Univ Hong Kong, Hong Kong, PEOPLES R CHINA	IEEE, IEEE Microwave Theory & Tech Soc, Virginal Diodes Inc, TeraView, Microtech Instruments Inc, Hong Kong Univ Sci & Technol, Dept Elect & Comp Engn, Croucher Fdn, Capital Normal Univ, K C Wong Educ Fdn, Meetings & Exhibit Hong Kong, Army Res Off, NSF	Chinese Univ Hong Kong			We describe a new instrument, the Terahertz Limb Sounder (TLS) designed to measure upper atmospheric winds and temperature in the altitude regime between 100 and 150 km. It is based on Doppler measurements of the line of neutral atomic oxygen, OI, at 2.06 THz. This measurement takes advantage of a Schottky diode based all solid state receiver.	[Schlecht, Erich; Siles, Jose; Treuttel, Jeanne; Lin, Robert; Mehdi, Imran] CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA; [Yee, Jeng-Hwa] Johns Hopkins Univ Appl Phys Lab, Laurel, MD 20723 USA; [Wu, Dong] NASA, Goddard Space Flight Ctr, Greenbelt, MD 20771 USA; [Thomas, Bertrand] Radiometer Phys GmbH, D-53340 Meckenheim, Germany	Schlecht, E (corresponding author), CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA.		Yee, Jeng-Hwa/L-6362-2016; Wu, Dong L/D-5375-2012	Yee, Jeng-Hwa/0000-0002-8269-424X; 				6	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2162-2027		978-1-4799-8272-1	INT CONF INFRA MILLI			2015													2	Engineering, Electrical & Electronic; Physics, Applied	Engineering; Physics	BE8OY	WOS:000376674000156					2020-09-15	
S	Siegel, PH; Tang, A; Virbila, G; Kim, Y; Chang, MCF; Pikov, V			IEEE	Siegel, Peter H.; Tang, Adrian; Virbila, Gabriel; Kim, Yanghyo; Chang, M. C. Frank; Pikov, Victor			Compact Non-Invasive Millimeter-Wave Glucose Sensor	2015 40TH INTERNATIONAL CONFERENCE ON INFRARED, MILLIMETER AND TERAHERTZ WAVES (IRMMW-THZ)	International Conference on Infrared Millimeter and Terahertz Waves		English	Proceedings Paper	40th International Conference on Infrared, Millimeter, and Terahertz Waves (IRMMW-THz)	AUG 23-28, 2015	Chinese Univ Hong Kong, Hong Kong, PEOPLES R CHINA	IEEE, IEEE Microwave Theory & Tech Soc, Virginal Diodes Inc, TeraView, Microtech Instruments Inc, Hong Kong Univ Sci & Technol, Dept Elect & Comp Engn, Croucher Fdn, Capital Normal Univ, K C Wong Educ Fdn, Meetings & Exhibit Hong Kong, Army Res Off, NSF	Chinese Univ Hong Kong			The authors describe a compact non-invasive CMOS-circuit-based glucose monitor using millimeter-wave transmission for use on animal and human subjects. Using an earlier device, in vivo measurements were performed through the ear in anesthetized animals and correlated with blood glucose concentration from test strips. In addition, millimeter wave absorption through glucose-containing solutions was measured in specialized liquid transmission cells and is shown to correlate with the animal and separate in vitro data. Design and performance information on the CMOS transceiver are given.	[Siegel, Peter H.] CALTECH, Pasadena, CA 91125 USA; [Siegel, Peter H.] THz Global, Pasadena, CA USA; [Tang, Adrian; Virbila, Gabriel; Kim, Yanghyo; Chang, M. C. Frank] Univ Calif Los Angeles, Los Angeles, CA USA; [Tang, Adrian] NASA, Jet Prop Lab, Los Angeles, CA USA; [Chang, M. C. Frank] Natl Chiao Tung Univ, Hsinchu, Taiwan; [Pikov, Victor] GlaxoSmithKline, Stevenage, Herts, England	Siegel, PH (corresponding author), CALTECH, Pasadena, CA 91125 USA.							6	0	0	0	3	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2162-2027		978-1-4799-8272-1	INT CONF INFRA MILLI			2015													3	Engineering, Electrical & Electronic; Physics, Applied	Engineering; Physics	BE8OY	WOS:000376674000021					2020-09-15	
S	Siles, JV; Schlecht, E; Lin, R; Lee, C; Mehdi, I			IEEE	Siles, Jose V.; Schlecht, Erich; Lin, Robert; Lee, Choonsup; Mehdi, Imran			High-Efficiency Planar Schottky Diode Based Submillimeter-Wave Frequency Multipliers Optimized for High-Power Operation	2015 40TH INTERNATIONAL CONFERENCE ON INFRARED, MILLIMETER AND TERAHERTZ WAVES (IRMMW-THZ)	International Conference on Infrared Millimeter and Terahertz Waves		English	Proceedings Paper	40th International Conference on Infrared, Millimeter, and Terahertz Waves (IRMMW-THz)	AUG 23-28, 2015	Chinese Univ Hong Kong, Hong Kong, PEOPLES R CHINA	IEEE, IEEE Microwave Theory & Tech Soc, Virginal Diodes Inc, TeraView, Microtech Instruments Inc, Hong Kong Univ Sci & Technol, Dept Elect & Comp Engn, Croucher Fdn, Capital Normal Univ, K C Wong Educ Fdn, Meetings & Exhibit Hong Kong, Army Res Off, NSF	Chinese Univ Hong Kong			We report on a new series of millimeter and submillimeter-wave frequency multipliers specifically optimized for very high-power operation in order to meet the requirements of next generation terahertz instruments for Astrophysics, Planetary science, Earth science and radar imaging applications. New frequency multiplier chips have been designed and fabricated in the 100 GHz to 1 THz range focusing on higher power operation. Initial tests have shown efficiencies of around 30% for a single-chip 105-120 GHz tripler, and 25% for a singlechip 170-200 GHz doubler, when pumped with 500 mW. These results correspond to a factor of 2-3 improvement with regards to previous designs at these frequencies. Similar improvements are expected for the new designs at higher frequencies.	[Siles, Jose V.; Schlecht, Erich; Lin, Robert; Lee, Choonsup; Mehdi, Imran] CALTECH, Jet Prop Lab, Pasadena, CA 91101 USA	Siles, JV (corresponding author), CALTECH, Jet Prop Lab, Pasadena, CA 91101 USA.							3	0	0	0	3	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2162-2027		978-1-4799-8272-1	INT CONF INFRA MILLI			2015													1	Engineering, Electrical & Electronic; Physics, Applied	Engineering; Physics	BE8OY	WOS:000376674000285					2020-09-15	
S	Gross, JN; Watson, RM; Sivaneri, V; Bar-Sever, YE; Bertiger, WI; Haines, B			Inst Navigat	Gross, Jason N.; Watson, Ryan M.; Sivaneri, Victor; Bar-Sever, Yoaz E.; Bertiger, William I.; Haines, Bruce			Integration of Inertial Navigation into Real-Time GIPSY-x (RTGx)	PROCEEDINGS OF THE 28TH INTERNATIONAL TECHNICAL MEETING OF THE SATELLITE DIVISION OF THE INSTITUTE OF NAVIGATION (ION GNSS+ 2015)	Institute of Navigation Satellite Division Proceedings of the International Technical Meeting		English	Proceedings Paper	28th International Technical Meeting of The Satellite-Division-of-the-Institute-of-Navigation (ION GNSS+)	SEP 14-18, 2015	Tampa, FL	Inst Navigat, Satellite Div			GPS; GLONASS	This paper details the integration of an Inertial Navigation System (INS) processing capability within JPL's RTGx geodetic data analysis and navigation software, and provides a performance analysis with experimental flight data in order to validate the implementation. The RTGx software, when used in conjunction with JPL's Global Differential GPS System (GDGPS), can be configured for real-t ime kinematic Precise Point Positioning (K-PPP) for centimeter-level positioning accuracy. Since 2006, RTGx's predecessor, RTG, has provided operational real-time K-PPP for NASA's Uninhabited Aerial Vehicle Synthetic Aperture Radar (UAVSAR) repeat pass interferometry mission on campaigns all over the world. While RTG's GPS-only data processing is meeting mission requirements during nominal science operations, its performance naturally degrades during certain flight scenarios, such as abrupt changes in the aircraft attitude or high banking turns, which induce signal loss-of-lock, carrier-phase breaks and/or cycle slips. During these periods, the well-known downsides of K-PPP, including the position solution's sensitivity to phase breaks and slow convergence after loss-of-lock become apparent, and may impact the instruments critical data take periods. Therefore, tightly-coupled INS has been integrated into RTGx to offer additional robustness. This paper discusses the adopted INS formulation and uses the flight data made available to the community by the National Geodetic Survey's Kinematic Challenge (Damiani et al., 2013) to offer an experimental performance evaluation. The integration of INS in RTGx is shown to provide solution improvements both in terms of accuracy and precision with respect to a post-processed ambiguity-fixed reference solution. Furthermore, the integration of INS into the RTGx software will enable RTGx to support new application domains.	[Gross, Jason N.] W Virginia Univ, Morgantown, WV 26506 USA; [Watson, Ryan M.] W Virginia Univ, Dept Mech & Aerosp MAE Engn, Morgantown, WV 26506 USA; [Watson, Ryan M.; Sivaneri, Victor] W Virginia Univ, UAV Flight Testing Team, Morgantown, WV 26506 USA; [Sivaneri, Victor] W Virginia Univ, MAE Dept, Morgantown, WV 26506 USA; [Bar-Sever, Yoaz E.] Jet Prop Lab, Global Differential GPS Syst GDGPS, Pasadena, CA USA; [Bertiger, William I.] Jet Prop Lab, Pasadena, CA USA; [Haines, Bruce] Jet Prop Lab, Near Earth Tracking Applicat Grp, Pasadena, CA USA	Gross, JN (corresponding author), W Virginia Univ, Morgantown, WV 26506 USA.			Gross, Jason/0000-0002-7771-2757				20	1	1	0	0	INST NAVIGATION	WASHINGTON	815 15TH ST NW, STE 832, WASHINGTON, DC 20005 USA	2331-5911	2331-5954		I NAVIG SAT DIV INT			2015							2560	2569					10	Remote Sensing; Telecommunications	Remote Sensing; Telecommunications	BE7FT	WOS:000375211602055					2020-09-15	
B	Udit, AK; Hill, MG; Gray, HB		Lewenstam, A; Gorton, L		Udit, Andrew K.; Hill, Michael G.; Gray, Harry B.			ELECTROCHEMICAL ACTIVATION OF CYTOCHROME P450	ELECTROCHEMICAL PROCESSES IN BIOLOGICAL SYSTEMS	Wiley Series on Electrocatalysis and Electrochemistry		English	Article; Book Chapter							DRIVEN OMEGA-HYDROXYLATION; ELECTRON-TRANSFER; HEME DOMAIN; LABORATORY EVOLUTION; CRYSTAL-STRUCTURE; REDOX PROPERTIES; COMPOUND-II; P450; REDUCTION; MYOGLOBIN		[Udit, Andrew K.; Hill, Michael G.] Occidental Coll, Dept Chem, Los Angeles, CA 90041 USA; [Gray, Harry B.] CALTECH, Beckman Inst, Pasadena, CA 91125 USA	Udit, AK (corresponding author), Occidental Coll, Dept Chem, Los Angeles, CA 90041 USA.							113	2	2	0	0	BLACKWELL SCIENCE PUBL	OXFORD	OSNEY MEAD, OXFORD OX2 0EL, ENGLAND			978-1-118-89907-6; 978-0-470-57845-2	WILEY SER ELECTROCAT			2015							133	167			10.1002/9781118899076		35	Electrochemistry; Engineering, Biomedical	Electrochemistry; Engineering	BE6NP	WOS:000374415900008					2020-09-15	
S	Fuji, H; Sulkowski, P		Donagi, R; Katz, S; Klemm, A; Morrison, DR		Fuji, Hiroyuki; Sulkowski, Piotr			Super-A Polynomial	STRING-MATH 2012	Proceedings of Symposia in Pure Mathematics		English	Proceedings Paper	Conference on String-Math 2012	JUL 16-21, 2012	Univ Bonn, Hausdorff Ctr Math, Bonn, GERMANY	Univ Bonn, Hausdorff Ctr Math, Bethe Ctr Theoret Phys, Max Planck Inst Math, Sonderforschungsbereich TR45	Univ Bonn, Hausdorff Ctr Math		QUANTUM-FIELD THEORY; TOPOLOGICAL STRINGS; VOLUME CONJECTURE; KNOTS; 3-MANIFOLDS; INVARIANTS; DUALITY	We review a construction of a new class of algebraic curves, called super-A-polynomials, and their quantum generalizations. The super-A polynomial is a two-parameter deformation of the A-polynomial known from knot theory or Chern-Simons theory with SL(2, C) gauge group. The two parameters of the super-A-polynomial encode, respectively, the t-deformation which leads to the "refined A-polynomial", and the Q-deformation which leads to the augmentation polynomial of knot contact homology. For a given knot, the super-A-polynomial encodes the asymptotics of the corresponding S-r-colored HOMFLY homology for large r, while the quantum super-A polynomial provides recursion relations for such homology theories for each r. The super-A-polynomial also admits a simple physical interpretation as the defining equation for the space of SUSY vacua in a circle compactification of the effective 3d N = 2 theory associated to a given knot (complement). We discuss properties of super-A-polynomials and illustrate them in many examples.	[Fuji, Hiroyuki; Sulkowski, Piotr] CALTECH, Pasadena, CA 91125 USA; [Fuji, Hiroyuki] Nagoya Univ, Dept Phys, Grad Sch Sci, Chikusa Ku, Furo Cho, Nagoya, Aichi 4648602, Japan; [Sulkowski, Piotr] Univ Warsaw, Fac Phys, PL-02093 Warsaw, Poland	Fuji, H (corresponding author), CALTECH, Pasadena, CA 91125 USA.	fuji@th.phys.nagoya-u.ac.jp; psulkows@theory.caltech.edu						43	3	4	0	0	AMER MATHEMATICAL SOC	PROVIDENCE	P.O. BOX 6248, PROVIDENCE, RI 02940 USA	2324-707X		978-0-8218-9495-8	P SYMP PURE MATH			2015	90						277	303		10.1090/pspum/090/01528			27	Mathematics	Mathematics	BE8FN	WOS:000376419100015					2020-09-15	
S	Blache, L; Desbrun, M; Loscos, C; Lucas, L		Bebis, G; Boyle, R; Parvin, B; Koracin, D; Pavlidis, I; Feris, R; McGraw, T; Elendt, M; Kopper, R; Ragan, E; Ye, Z; Weber, G		Blache, Ludovic; Desbrun, Mathieu; Loscos, Celine; Lucas, Laurent			Time-Varying Surface Reconstruction of an Actor's Performance	ADVANCES IN VISUAL COMPUTING, PT I (ISVC 2015)	Lecture Notes in Computer Science		English	Proceedings Paper	11th International Symposium on Visual Computing (ISVC)	DEC 14-16, 2015	Las Vegas, NV	UNR, Desert Res Inst, LBNL, NASA Ames, BAE Syst, Intel, Ford, Hewlett Packard, Mitsubishi Elec Res Labs, Toyota, Gen Elect, Berkeley Lab				We propose a fully automatic time-varying surface reconstruction of an actor's performance captured from a production stage through omnidirectional video. The resulting mesh and its texture can then directly be edited in post-production. Our method makes no assumption on the costumes or accessories present in the recording. We take as input a raw sequence of volumetric static poses reconstructed from video sequences acquired in a multi-viewpoint chroma-key studio. The first frame is chosen as the reference mesh. An iterative approach is applied throughout the sequence in order to induce a deformation of the reference mesh for all input frames. At first, a pseudo-rigid transformation adjusts the pose to match the input visual hull as closely as possible. Then, local deformation is added to reconstruct fine details. We provide examples of actors' performance inserted into virtual scenes, including dynamic interaction with the environment.	[Blache, Ludovic; Loscos, Celine; Lucas, Laurent] Univ Reims, Reims, France; [Desbrun, Mathieu] CALTECH, Pasadena, CA 91125 USA; [Desbrun, Mathieu] INRIA, Sophia Antipolis, France	Blache, L (corresponding author), Univ Reims, Reims, France.	ludovic.blache@univ-reims.fr	Koracin, Darko/E-2892-2017; Loscos, Celine/F-5973-2017	Loscos, Celine/0000-0002-0520-6249; Desbrun, Mathieu/0000-0003-3424-6079				15	0	0	0	1	SPRINGER INTERNATIONAL PUBLISHING AG	CHAM	GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND	0302-9743	1611-3349	978-3-319-27857-5; 978-3-319-27856-8	LECT NOTES COMPUT SC			2015	9474						92	101		10.1007/978-3-319-27857-5_9			10	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods; Imaging Science & Photographic Technology	Computer Science; Imaging Science & Photographic Technology	BE8FE	WOS:000376400300009					2020-09-15	
S	Marcolli, M		Nielsen, F; Barbaresco, F		Marcolli, Matilde			Information Algebras and Their Applications	GEOMETRIC SCIENCE OF INFORMATION, GSI 2015	Lecture Notes in Computer Science		English	Proceedings Paper	2nd International SEE Conference on Geometric Science of Information (GSI)	OCT 28-30, 2015	Ecole Polytechnique, Comp Sci Dep, Lab Informatique, Palaiseau, FRANCE	Soc lElectricite, lElectronique, Technologies linformation & Commun, Soc Math Appliquees Ind, CNRS, Inst Syst Complexes, Inria, Telecom ParisTech, THALES, Ecole Polytechnique, UNITWIN, Complex Syst Digital Campus, IledeFrance, Math limagerie & Applicat, Informat, Signal Image & Vis, Springer, Entropy, Fondat Cooperat Sci	Ecole Polytechnique, Comp Sci Dep, Lab Informatique		QUANTUM-FIELD THEORY; RENORMALIZATION; GEOMETRY; MODELS	In this lecture we will present joint work with Ryan Thorngren on thermodynamic semirings and entropy operads, with Nicolas Tedeschi on Birkhoff factorization in thermodynamic semirings, ongoing work with Marcus Bintz on tropicalization of Feynman graph hypersurfaces and Potts model hypersurfaces, and their thermodynamic deformations, and ongoing work by the author on applications of thermodynamic semirings to models of morphology and syntax in Computational Linguistics.	[Marcolli, Matilde] CALTECH, Pasadena, CA 91125 USA	Marcolli, M (corresponding author), CALTECH, Pasadena, CA 91125 USA.	matilde@caltech.edu						24	1	1	0	0	SPRINGER INT PUBLISHING AG	CHAM	GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND	0302-9743		978-3-319-25040-3; 978-3-319-25039-7	LECT NOTES COMPUT SC			2015	9389						271	276		10.1007/978-3-319-25040-3_30			6	Computer Science, Artificial Intelligence; Computer Science, Theory & Methods; Robotics	Computer Science; Robotics	BE6LA	WOS:000374288700030					2020-09-15	
